member_id,prioritization_score,rank
121,0.29003102,1
3195,0.2659135,2
8746,0.25396043,3
1496,0.24786809,4
8005,0.23005927,5
4939,0.23004507,6
339,0.22691157,7
3547,0.22173108,8
7447,0.21605176,9
1989,0.21576774,10
6796,0.21334976,11
2586,0.20609935,12
5746,0.20222244,13
6083,0.18983497,14
6486,0.18278775,15
5568,0.1807878,16
8112,0.17724158,17
2242,0.1759502,18
5269,0.17579904,19
4007,0.17526731,20
4217,0.17243299,21
8144,0.1707705,22
5043,0.16904876,23
697,0.16880076,24
7501,0.16738744,25
8182,0.16678073,26
18,0.16279283,27
6495,0.16218016,28
1304,0.16206396,29
4234,0.16043277,30
5095,0.1604103,31
439,0.16025071,32
8148,0.15980253,33
4243,0.15927479,34
9179,0.15700522,35
3400,0.15686506,36
5871,0.15629618,37
800,0.15299334,38
6999,0.15230712,39
276,0.15182231,40
9620,0.15027513,41
2630,0.14940786,42
8172,0.14850695,43
6853,0.1484085,44
5139,0.14798568,45
792,0.14607233,46
9345,0.14533338,47
2310,0.14417844,48
485,0.1440942,49
7113,0.14395215,50
8655,0.14363685,51
7548,0.1435203,52
2673,0.14326113,53
8889,0.1428302,54
2719,0.14167416,55
6875,0.14127453,56
5283,0.140455,57
6698,0.13934039,58
7638,0.13837668,59
9083,0.137912,60
8725,0.13777103,61
8291,0.13701591,62
717,0.13633221,63
411,0.13570926,64
6530,0.13517916,65
9394,0.13507274,66
7066,0.13448751,67
6362,0.13441528,68
5820,0.13333808,69
2714,0.13329701,70
9878,0.13300516,71
8478,0.13190335,72
5590,0.13122708,73
2105,0.13120838,74
4916,0.13042255,75
3840,0.1300346,76
2076,0.12997802,77
7293,0.12928644,78
1043,0.129056,79
4465,0.12876984,80
9923,0.12869054,81
8396,0.12857187,82
7067,0.12775818,83
5857,0.12767296,84
7003,0.12708646,85
9062,0.1265787,86
5406,0.12651289,87
5571,0.12637308,88
5372,0.12597533,89
5546,0.12578219,90
4934,0.12573391,91
5775,0.12504098,92
9803,0.12485245,93
9298,0.12407128,94
4052,0.12366818,95
8227,0.12363404,96
2198,0.12291791,97
2601,0.12203244,98
4728,0.12193874,99
4923,0.12164575,100
1931,0.12163178,101
6510,0.1212298,102
2697,0.12109245,103
5065,0.12093047,104
6349,0.12076763,105
9005,0.120442346,106
1202,0.12023713,107
1327,0.12002108,108
5736,0.11986284,109
1632,0.11920884,110
1065,0.11891665,111
2781,0.11796766,112
8856,0.117828235,113
270,0.11782771,114
7428,0.117799,115
6329,0.11772518,116
3867,0.117327005,117
343,0.1165584,118
26,0.115727745,119
9142,0.11560337,120
1571,0.11521961,121
4129,0.11502355,122
4858,0.114997745,123
5308,0.114752576,124
2041,0.11457938,125
1588,0.11317414,126
5901,0.11250481,127
3610,0.11212619,128
6079,0.111766174,129
534,0.111660846,130
636,0.111475416,131
7485,0.11108677,132
1685,0.11107771,133
2741,0.11028205,134
3978,0.10991512,135
7036,0.10989957,136
4054,0.10989933,137
2988,0.109702304,138
1986,0.10948008,139
5649,0.10933469,140
4661,0.10923399,141
6710,0.109200284,142
547,0.108781114,143
9828,0.108714744,144
3388,0.108707756,145
4792,0.10856148,146
2108,0.10753968,147
9964,0.10725133,148
199,0.106647074,149
3498,0.10653263,150
6800,0.10631146,151
3453,0.105303384,152
2581,0.10529247,153
4820,0.105270505,154
348,0.10487315,155
5405,0.104861826,156
1142,0.10463211,157
8015,0.10443239,158
6707,0.1043017,159
2333,0.1042828,160
315,0.1042759,161
5679,0.104197755,162
656,0.10377962,163
7955,0.10360933,164
8985,0.103453234,165
7730,0.103177324,166
4517,0.10279499,167
4149,0.10261652,168
3727,0.102559626,169
3505,0.10196083,170
2918,0.10149801,171
3581,0.10109584,172
8557,0.100958765,173
4375,0.10074237,174
6087,0.1004488,175
7698,0.10011629,176
5795,0.099927396,177
3798,0.099773206,178
6938,0.099331915,179
6240,0.099265024,180
9553,0.09916963,181
8628,0.09821646,182
5758,0.097464286,183
9428,0.09742207,184
5448,0.09740065,185
9004,0.09735934,186
5451,0.0971899,187
5023,0.097175136,188
1110,0.09701842,189
6650,0.09693986,190
1721,0.096858874,191
6833,0.09679252,192
6001,0.0965533,193
1965,0.09651477,194
8293,0.09651214,195
9012,0.09636696,196
9625,0.09559579,197
864,0.09558145,198
4117,0.09551494,199
2647,0.09548169,200
7167,0.09492178,201
1177,0.094678074,202
5998,0.094339415,203
6274,0.09390515,204
8687,0.09379934,205
9845,0.09373937,206
6099,0.09363558,207
5292,0.093635514,208
3983,0.09345153,209
9037,0.09344357,210
4503,0.09301388,211
4660,0.092992164,212
331,0.09297661,213
5582,0.09273132,214
4714,0.09272736,215
7704,0.092540726,216
2606,0.092317745,217
7087,0.092176095,218
9959,0.09215285,219
3056,0.09206727,220
2812,0.09167272,221
6361,0.091505185,222
1707,0.09147145,223
4454,0.09140137,224
8226,0.09139784,225
6570,0.09136065,226
2699,0.09130576,227
5995,0.09119853,228
3032,0.09117222,229
687,0.091003194,230
3461,0.09072943,231
6227,0.090523705,232
1906,0.09037511,233
4713,0.09017935,234
1627,0.090140775,235
9239,0.09003191,236
4445,0.089764595,237
2576,0.0897645,238
2217,0.089710094,239
5700,0.08962792,240
9136,0.089438245,241
2410,0.089425445,242
9356,0.08927355,243
4386,0.08911878,244
2172,0.08907314,245
4683,0.088921785,246
1878,0.088908814,247
4871,0.08878467,248
2350,0.088621676,249
4235,0.088340014,250
8082,0.08822431,251
3805,0.08805077,252
5561,0.08801525,253
6747,0.08774203,254
5497,0.08768383,255
1489,0.08759856,256
4173,0.08739284,257
8145,0.0872564,258
7046,0.087204136,259
1753,0.08717642,260
9955,0.08713192,261
3100,0.08705939,262
7882,0.08660583,263
5418,0.08654205,264
4556,0.086176574,265
8050,0.08603954,266
3240,0.085955806,267
2408,0.08592423,268
6073,0.08589372,269
9459,0.08576094,270
7259,0.08560759,271
9421,0.08553883,272
1405,0.0854397,273
5790,0.08539453,274
3359,0.08535921,275
7245,0.08512447,276
1698,0.084537685,277
8812,0.084436946,278
6,0.08438456,279
6105,0.08435822,280
1019,0.08402634,281
155,0.08386576,282
1067,0.08377695,283
9212,0.08373691,284
9781,0.08362587,285
3432,0.083618104,286
8472,0.08354378,287
801,0.0830469,288
712,0.083003655,289
7810,0.08286325,290
7831,0.0828177,291
4522,0.082646504,292
6675,0.082632266,293
9550,0.08260551,294
6137,0.08259162,295
2885,0.08218768,296
5707,0.082140386,297
6949,0.08169842,298
3254,0.08155379,299
510,0.08125037,300
9920,0.0812197,301
9196,0.081133105,302
1292,0.080978096,303
4644,0.08095914,304
2870,0.080958135,305
2389,0.080951974,306
3378,0.08085369,307
2497,0.08041836,308
5931,0.08034159,309
8403,0.07997062,310
2390,0.07993731,311
3561,0.0797854,312
6580,0.07961872,313
5985,0.079415336,314
3504,0.0793381,315
6439,0.07929266,316
7525,0.07903923,317
2955,0.0790351,318
1684,0.0790278,319
4665,0.079025954,320
5429,0.07902071,321
206,0.079004645,322
8698,0.078940764,323
9112,0.07872946,324
9987,0.078498155,325
3915,0.07844018,326
5708,0.078053206,327
9108,0.07785231,328
7844,0.07784632,329
2739,0.077592924,330
5054,0.077556126,331
8029,0.077515945,332
5648,0.077215806,333
5291,0.07716894,334
4282,0.0771153,335
42,0.07708038,336
2357,0.07662995,337
1235,0.07662678,338
8081,0.07657407,339
7272,0.07654162,340
5764,0.07653105,341
8281,0.07650548,342
383,0.07638727,343
1934,0.07624534,344
2140,0.07614952,345
538,0.07602286,346
5747,0.076013416,347
8720,0.07565987,348
7313,0.07562918,349
6461,0.07560384,350
425,0.075457156,351
8589,0.07545096,352
316,0.07522711,353
8376,0.07517305,354
768,0.0749912,355
3277,0.07480711,356
7004,0.07463533,357
4071,0.0744489,358
2245,0.07444802,359
3508,0.07439938,360
8427,0.074313164,361
8638,0.07413777,362
4072,0.07410425,363
5783,0.07405451,364
3739,0.074031234,365
8098,0.073930696,366
936,0.0738574,367
8756,0.073828846,368
7237,0.07364403,369
5675,0.073518224,370
1912,0.07343736,371
8694,0.07334925,372
3794,0.072957665,373
9491,0.072885066,374
735,0.0728226,375
29,0.07255775,376
1712,0.07253973,377
5476,0.07245222,378
3467,0.07242078,379
8424,0.07232031,380
7250,0.072119504,381
9165,0.07208593,382
7796,0.07207079,383
7872,0.071967565,384
6805,0.07184833,385
4832,0.07177193,386
5375,0.07170348,387
5852,0.071681455,388
9826,0.07166236,389
2522,0.071540974,390
7636,0.07126953,391
6858,0.07100016,392
3439,0.070930175,393
6744,0.07089454,394
271,0.07083094,395
5527,0.07063019,396
860,0.07044822,397
7446,0.07043083,398
1335,0.070191056,399
5279,0.070044205,400
9065,0.069780074,401
1704,0.06973334,402
1212,0.06943801,403
1251,0.069273494,404
5304,0.06924511,405
6782,0.06921883,406
7677,0.06919515,407
4345,0.06917691,408
930,0.06889473,409
4658,0.06871897,410
9092,0.06867576,411
5855,0.06861977,412
5072,0.06848967,413
9783,0.068128765,414
633,0.068084106,415
6967,0.06798058,416
1370,0.06794214,417
1086,0.067856506,418
6200,0.06784473,419
5627,0.067739785,420
5363,0.067504734,421
4732,0.06734532,422
6133,0.06730074,423
5786,0.06728239,424
6150,0.067251556,425
1563,0.06724168,426
5229,0.06714532,427
8896,0.06696388,428
8129,0.066928536,429
9375,0.06654343,430
8441,0.06641212,431
8586,0.06628751,432
2702,0.06626618,433
3817,0.06625427,434
5574,0.06581548,435
8750,0.06563698,436
9410,0.065567136,437
1749,0.0655473,438
8966,0.06554495,439
7533,0.06544208,440
5011,0.06541678,441
8267,0.065303504,442
1990,0.06528734,443
8365,0.06515129,444
6750,0.06510682,445
4110,0.06496099,446
8578,0.064930946,447
7059,0.06478739,448
6717,0.06466511,449
1896,0.0646406,450
1848,0.064552106,451
8010,0.06428481,452
9266,0.064272046,453
3333,0.06423418,454
5150,0.064202055,455
1169,0.06415397,456
854,0.063999094,457
7477,0.0639465,458
1767,0.06389186,459
1581,0.06386623,460
9161,0.0637995,461
7185,0.06367326,462
4241,0.06350425,463
7279,0.06328578,464
3850,0.06309602,465
8926,0.063014045,466
6369,0.06293608,467
3553,0.06262424,468
2271,0.06259535,469
7316,0.062461607,470
5810,0.062173024,471
3339,0.062133178,472
6142,0.06205164,473
6505,0.062034592,474
845,0.06198725,475
7695,0.061918065,476
1223,0.06191732,477
13,0.06180516,478
1802,0.06174743,479
6759,0.06162347,480
3696,0.06151651,481
7153,0.061494127,482
8722,0.06148293,483
9934,0.061334662,484
6456,0.06124576,485
1027,0.060969412,486
6356,0.060458306,487
7936,0.06015402,488
9282,0.05999706,489
5256,0.059953026,490
7332,0.05992717,491
2948,0.059517905,492
2132,0.059450224,493
7839,0.059433162,494
6886,0.05942998,495
1783,0.059298858,496
9561,0.059235,497
6392,0.059190303,498
6410,0.059051715,499
9689,0.05847107,500
1146,0.05840361,501
3516,0.05834364,502
597,0.058277577,503
5982,0.05824998,504
1573,0.0581491,505
2442,0.0579409,506
9283,0.057880484,507
2874,0.05783227,508
5399,0.05780381,509
3313,0.057592407,510
3962,0.05758377,511
5921,0.057438374,512
5364,0.05741018,513
6302,0.057378262,514
2400,0.057151407,515
6202,0.05711317,516
2703,0.057047263,517
1252,0.057038076,518
3492,0.057015166,519
3773,0.056953758,520
3597,0.056807593,521
5742,0.056774877,522
7723,0.056720942,523
3066,0.056657307,524
9057,0.05653411,525
8322,0.0563536,526
7196,0.05610481,527
5018,0.056084,528
6206,0.056036957,529
5605,0.055778116,530
4747,0.055524796,531
9207,0.055481166,532
8003,0.055408925,533
5227,0.055239268,534
6599,0.054970987,535
494,0.054846965,536
8625,0.0546626,537
2901,0.05466166,538
4115,0.05455391,539
464,0.054209672,540
7541,0.054120854,541
7256,0.053900756,542
6906,0.05378878,543
4286,0.053596422,544
898,0.05349323,545
3397,0.05342014,546
2859,0.05341035,547
5183,0.05328528,548
3237,0.053115785,549
2930,0.053064883,550
581,0.05306001,551
3960,0.053004354,552
2528,0.052992478,553
1226,0.05292937,554
7367,0.052912228,555
1023,0.052760903,556
4374,0.052736014,557
8606,0.052703373,558
1047,0.052685514,559
6182,0.05260723,560
6691,0.05259691,561
7836,0.052496426,562
1044,0.052344896,563
284,0.05230409,564
3558,0.052181855,565
5913,0.052138805,566
6086,0.05211781,567
9532,0.052012887,568
3917,0.051989853,569
2780,0.05195862,570
6217,0.05195106,571
3537,0.051934958,572
8584,0.051920384,573
7851,0.051751062,574
5529,0.051613115,575
2498,0.051574305,576
7753,0.05152812,577
9605,0.051462904,578
4547,0.051454335,579
6995,0.051186144,580
9317,0.051055163,581
4528,0.0510384,582
1539,0.051009953,583
4305,0.050833285,584
8002,0.05062087,585
8637,0.050613046,586
1882,0.050567776,587
2850,0.05049301,588
3698,0.0503589,589
9707,0.05031377,590
4380,0.050195053,591
5637,0.0499921,592
4148,0.049711116,593
2321,0.04970412,594
7007,0.049637184,595
6665,0.04962617,596
8757,0.049619123,597
7767,0.04959023,598
5676,0.04951656,599
528,0.0495072,600
7556,0.04949349,601
9073,0.04929261,602
1609,0.04918979,603
8022,0.049187943,604
5152,0.049168237,605
1629,0.04907544,606
7482,0.0488038,607
1867,0.048486657,608
6335,0.048321724,609
788,0.048295364,610
4104,0.048154302,611
3364,0.04801374,612
7737,0.047803886,613
2204,0.047787502,614
4024,0.047108345,615
4956,0.046789676,616
8935,0.04678653,617
293,0.04668738,618
6848,0.0466657,619
1855,0.046658188,620
8480,0.04656653,621
8278,0.046562493,622
1789,0.046468966,623
7160,0.046466373,624
6920,0.046370264,625
4385,0.046285868,626
6492,0.046257243,627
3585,0.046117038,628
4514,0.046087734,629
240,0.046061605,630
7784,0.04588637,631
1918,0.04583258,632
3244,0.045803607,633
3811,0.045480624,634
4545,0.045157105,635
8454,0.045156434,636
728,0.04479426,637
5636,0.04464011,638
1813,0.044617653,639
4557,0.044452593,640
413,0.044445872,641
2370,0.044357464,642
8495,0.044307098,643
7190,0.04429724,644
3270,0.044273287,645
6061,0.044258967,646
7819,0.04418972,647
402,0.044186413,648
4782,0.044029526,649
8170,0.043882437,650
8876,0.043709353,651
673,0.0435407,652
4186,0.04352081,653
3311,0.043512285,654
5642,0.04350929,655
6939,0.04350184,656
6159,0.043470263,657
4404,0.04335557,658
3482,0.043301508,659
8020,0.043278947,660
2687,0.043073162,661
6318,0.042981356,662
599,0.042848997,663
8400,0.042835973,664
1382,0.04276585,665
3627,0.042672157,666
5471,0.04266043,667
7565,0.042482488,668
1980,0.042407706,669
4006,0.042203516,670
9671,0.042093396,671
9585,0.041971214,672
1242,0.041913778,673
7188,0.041825727,674
4205,0.04173725,675
2727,0.04165052,676
7795,0.04164598,677
4426,0.041446596,678
6507,0.041441858,679
4804,0.041413948,680
1511,0.04129339,681
2912,0.041137993,682
9019,0.04104647,683
5154,0.0409981,684
2946,0.0409019,685
2156,0.04089269,686
7953,0.040892005,687
3937,0.040825658,688
5930,0.04061824,689
8668,0.040562846,690
825,0.040521532,691
7014,0.04018593,692
6433,0.040180206,693
8712,0.04014051,694
9863,0.040108487,695
6600,0.03943479,696
1893,0.039387375,697
8045,0.039379887,698
4839,0.039280847,699
172,0.03900045,700
8539,0.038901627,701
5255,0.038719907,702
9470,0.03867449,703
970,0.038323313,704
3729,0.038217664,705
6830,0.038211927,706
5383,0.03816887,707
1286,0.037996292,708
262,0.03786835,709
1343,0.037670895,710
6726,0.037652463,711
1181,0.037635766,712
2360,0.03763534,713
2772,0.037616402,714
1643,0.037279144,715
5886,0.037059456,716
2733,0.03701909,717
9661,0.037011094,718
2758,0.036685765,719
7780,0.036599927,720
2030,0.036500134,721
3165,0.03626758,722
6180,0.036253303,723
4258,0.036235407,724
766,0.03622295,725
3723,0.03621567,726
7295,0.035910815,727
7215,0.03581156,728
9947,0.035806775,729
6554,0.035612762,730
9414,0.035586536,731
2503,0.03557034,732
422,0.035552844,733
702,0.035542853,734
9307,0.03551036,735
3618,0.035480946,736
739,0.035443068,737
6850,0.035263002,738
9076,0.034914404,739
197,0.034901507,740
2441,0.034882963,741
2034,0.034859076,742
2508,0.034739047,743
6481,0.03472075,744
1924,0.03459978,745
5534,0.034484975,746
4961,0.034452498,747
9549,0.034025416,748
2232,0.0340105,749
9028,0.033823043,750
9291,0.033803955,751
4027,0.033773497,752
773,0.03331002,753
5543,0.033288255,754
6624,0.032934368,755
995,0.03276974,756
188,0.032706186,757
5722,0.032651722,758
6659,0.032511592,759
3416,0.03238231,760
5604,0.032305688,761
9654,0.032161772,762
5373,0.032078505,763
5202,0.031916708,764
6526,0.03170325,765
